18
Alegrete
Bage
Cacequi
Cruz Alta
Julio de Castilhos
Novo Hamburgo
Passo Fundo
Pelotas
Porto Alegre
Rio Grande
Roca Sales
Santa Maria
Santa Rosa
Santiago
Santo Angelo
Sao Borja
Tupancireta
Uruguaiana
10;8;1500
8;10;1500
8;2;1000
2;8;1000
2;3;1500
3;2;1500
3;1;1000
1;3;1000
1;18;1000
18;1;1000
3;14;1200
14;3;1200
14;16;1450
16;14;1450
3;12;1200
3;12;1200
14;12;1200
12;14;1200
12;5;1600
5;12;1600
5;17;1500
5;17;1500
17;4;1600
4;17;1600
4;15;1200
15;4;1200
15;13;1300
13;15;1300
12;9;1800
9;12;1800
12;11;1800
11;12;1800
9;11;1800
11;9;1800
9;6;1200
6;9;1200
11;7;1700
7;11;1700
